Afghanistan,AFG,2014,3.03
Albania,ALB,2014,-0.10
Algeria,DZA,2014,1.94
American Samoa,ASM,2014,0.24
Andorra,ADO,2014,-4.19
Angola,AGO,2014,3.27
Antigua and Barbuda,ATG,2014,1.01
Argentina,ARG,2014,1.03
Armenia,ARM,2014,0.47
Aruba,ABW,2014,0.50
Australia,AUS,2014,1.57
Austria,AUT,2014,0.65
Azerbaijan,AZE,2014,1.28
"Bahamas, The",BHS,2014,1.37
Bahrain,BHR,2014,0.92
Bangladesh,BGD,2014,1.21
Barbados,BRB,2014,0.31
Belarus,BLR,2014,0.04
Belgium,BEL,2014,0.38
Belize,BLZ,2014,2.16
Benin,BEN,2014,2.64
Bermuda,BMU,2014,0.28
Bhutan,BTN,2014,1.36
Bolivia,BOL,2014,1.55
Bosnia and Herzegovina,BIH,2014,-0.16
Botswana,BWA,2014,1.98
Brazil,BRA,2014,0.89
Brunei Darussalam,BRN,2014,1.42
Bulgaria,BGR,2014,-0.54
Burkina Faso,BFA,2014,2.91
Burundi,BDI,2014,3.30
Cabo Verde,CPV,2014,1.30
Cambodia,KHM,2014,1.64
Cameroon,CMR,2014,2.50
Canada,CAN,2014,1.08
Cayman Islands,CYM,2014,1.37
Central African Republic,CAF,2014,1.97
Chad,TCD,2014,3.30
Channel Islands,CHI,2014,0.48
Chile,CHL,2014,1.06
China,CHN,2014,0.51
Colombia,COL,2014,0.94
Comoros,COM,2014,2.40
"Congo, Dem. Rep.",ZAR,2014,3.15
"Congo, Rep.",COG,2014,2.49
Costa Rica,CRI,2014,1.08
Cote d'Ivoire,CIV,2014,2.44
Croatia,HRV,2014,-0.45
Cuba,CUB,2014,0.15
Curacao,CUW,2014,1.32
Cyprus,CYP,2014,1.05
Czech Republic,CZE,2014,-0.04
Denmark,DNK,2014,0.44
Djibouti,DJI,2014,1.34
Dominica,DMA,2014,0.47
Dominican Republic,DOM,2014,1.20
Ecuador,ECU,2014,1.53
"Egypt, Arab Rep.",EGY,2014,2.22
El Salvador,SLV,2014,0.30
Equatorial Guinea,GNQ,2014,2.94
Eritrea,ERI,2014,2.21
Estonia,EST,2014,-0.33
Ethiopia,ETH,2014,2.51
Faeroe Islands,FRO,2014,-0.15
Fiji,FJI,2014,0.67
Finland,FIN,2014,0.45
France,FRA,2014,0.43
French Polynesia,PYF,2014,1.08
Gabon,GAB,2014,2.24
"Gambia, The",GMB,2014,3.23
Georgia,GEO,2014,0.38
Germany,DEU,2014,0.30
Ghana,GHA,2014,2.35
Greece,GRC,2014,-0.64
Greenland,GRL,2014,-0.33
Grenada,GRD,2014,0.42
Guam,GUM,2014,1.46
Guatemala,GTM,2014,2.05
Guinea,GIN,2014,2.70
Guinea-Bissau,GNB,2014,2.44
Guyana,GUY,2014,0.38
Haiti,HTI,2014,1.34
Honduras,HND,2014,1.42
"Hong Kong SAR, China",HKG,2014,0.75
Hungary,HUN,2014,-0.32
Iceland,ISL,2014,1.17
India,IND,2014,1.23
Indonesia,IDN,2014,1.26
"Iran, Islamic Rep.",IRN,2014,1.28
Iraq,IRQ,2014,3.01
Ireland,IRL,2014,0.31
Isle of Man,IMY,2014,0.77
Israel,ISR,2014,1.91
Italy,ITA,2014,1.81
Jamaica,JAM,2014,0.24
Japan,JPN,2014,-0.16
Jordan,JOR,2014,2.25
Kazakhstan,KAZ,2014,1.48
Kenya,KEN,2014,2.64
Kiribati,KIR,2014,1.76
"Korea, Dem. Rep.",PRK,2014,0.53
"Korea, Rep.",KOR,2014,0.41
Kosovo,KSV,2014,0.28
Kuwait,KWT,2014,4.34
Kyrgyz Republic,KGZ,2014,1.98
Lao PDR,LAO,2014,1.65
Latvia,LVA,2014,-1.11
Lebanon,LBN,2014,1.18
Lesotho,LSO,2014,1.25
Liberia,LBR,2014,2.37
Libya,LBY,2014,-0.11
Liechtenstein,LIE,2014,0.66
Lithuania,LTU,2014,-0.96
Luxembourg,LUX,2014,2.31
"Macao SAR, China",MAC,2014,1.72
"Macedonia, FYR",MKD,2014,0.15
Madagascar,MDG,2014,2.78
Malawi,MWI,2014,3.07
Malaysia,MYS,2014,1.47
Maldives,MDV,2014,1.78
Mali,MLI,2014,2.93
Malta,MLT,2014,0.95
Marshall Islands,MHL,2014,0.21
Mauritania,MRT,2014,2.47
Mauritius,MUS,2014,0.18
Mexico,MEX,2014,1.32
"Micronesia, Fed. Sts.",FSM,2014,0.31
Moldova,MDA,2014,-0.06
Monaco,MCO,2014,0.25
Mongolia,MNG,2014,1.76
Montenegro,MNE,2014,0.10
Morocco,MAR,2014,1.39
Mozambique,MOZ,2014,2.79
Myanmar,MMR,2014,0.85
Namibia,NAM,2014,2.37
Nepal,NPL,2014,1.21
Netherlands,NLD,2014,0.30
New Caledonia,NCL,2014,1.52
New Zealand,NZL,2014,1.51
Nicaragua,NIC,2014,1.14
Niger,NER,2014,4.03
Nigeria,NGA,2014,2.66
Northern Mariana Islands,MNP,2014,1.24
Norway,NOR,2014,1.11
Oman,OMN,2014,8.09
Pakistan,PAK,2014,2.10
Palau,PLW,2014,0.85
Panama,PAN,2014,1.61
Papua New Guinea,PNG,2014,2.09
Paraguay,PRY,2014,1.33
Peru,PER,2014,1.32
Philippines,PHL,2014,1.59
Poland,POL,2014,-0.12
Portugal,PRT,2014,-0.57
Puerto Rico,PRI,2014,-1.33
Qatar,QAT,2014,3.31
Romania,ROM,2014,-0.36
Russian Federation,RUS,2014,0.22
Rwanda,RWA,2014,2.35
Samoa,WSM,2014,0.76
San Marino,SMR,2014,0.65
Sao Tome and Principe,STP,2014,2.15
Saudi Arabia,SAU,2014,2.24
Senegal,SEN,2014,3.13
Serbia,SRB,2014,-0.49
Seychelles,SYC,2014,1.79
Sierra Leone,SLE,2014,2.19
Singapore,SGP,2014,1.30
Sint Maarten (Dutch part),SXM,2014,2.85
Slovak Republic,SVK,2014,0.09
Slovenia,SVN,2014,0.11
Solomon Islands,SLB,2014,2.03
Somalia,SOM,2014,2.40
South Africa,ZAF,2014,1.58
South Sudan,SSD,2014,3.92
Spain,ESP,2014,-0.46
Sri Lanka,LKA,2014,0.76
St. Kitts and Nevis,KNA,2014,1.18
St. Lucia,LCA,2014,0.73
St. Martin (French part),MAF,2014,0.85
St. Vincent and the Grenadines,VCT,2014,0.03
Sudan,SDN,2014,2.15
Suriname,SUR,2014,0.90
Swaziland,SWZ,2014,1.47
Sweden,SWE,2014,0.92
Switzerland,CHE,2014,1.24
Syrian Arab Republic,SYR,2014,1.68
Tajikistan,TJK,2014,2.24
Tanzania,TZA,2014,3.15
Thailand,THA,2014,0.41
Timor-Leste,TMP,2014,2.68
Togo,TGO,2014,2.66
Tonga,TON,2014,0.42
Trinidad and Tobago,TTO,2014,0.46
Tunisia,TUN,2014,1.01
Turkey,TUR,2014,1.22
Turkmenistan,TKM,2014,1.27
Turks and Caicos Islands,TCA,2014,1.91
Tuvalu,TUV,2014,0.17
Uganda,UGA,2014,3.25
Ukraine,UKR,2014,-0.28
United Arab Emirates,ARE,2014,0.51
United Kingdom,GBR,2014,0.63
United States,USA,2014,0.74
Uruguay,URY,2014,0.34
Uzbekistan,UZB,2014,1.64
Vanuatu,VUT,2014,2.23
"Venezuela, RB",VEN,2014,1.37
Vietnam,VNM,2014,1.13
Virgin Islands (U.S.),VIR,2014,-0.54
West Bank and Gaza,WBG,2014,2.96
"Yemen, Rep.",YEM,2014,2.52
Zambia,ZMB,2014,3.07
Zimbabwe,ZWE,2014,2.31
